Ім'я, Заробіток, К-сть організацій та комітетів, Присутність, Відсутність, К-сть законопроектів, Прийняті закони, Коефіцієнт
Євлахов Анатолій Сергійович, 1962229.46, 10, 46, 10, 95, 11, 0.68
Євтушок Сергій Миколайович, 2244351.87, 9, 1, 1, 140, 6, 0.37
Єднак Остап Володимирович, 2286885.22, 8, 9, 10, 112, 11, 0.57
Єленський Віктор Євгенович, 569957.68, 9, 81, 4, 65, 11, 2.34
Ємець Леонід Олександрович, 197371.13, 12, 65, 13, 151, 12, 7.73
Івченко Вадим Євгенович, 742615.02, 10, 25, 5, 222, 25, 3.83
Іллєнко Андрій Юрійович, 3061.82, 8, 69, 9, 195, 4, 240.39
Іонова Марія Миколаївна, 880425.64, 12, 67, 5, 6068, 511, 65.14
Іщейкін Костянтин Євгенович, 2551989.78, 10, 127, 9, 143, 8, 0.46
Іщенко Валерій Олександрович, 22500.0, 9, 40, 16, 69, 8, 43.89
Алєксєєв Сергій Олегович, 1659079.17, 12, 71, 7, 152, 15, 1.11
Алексєєв Ігор Сергійович, 2013828.76, 12, 73, 5, 89, 16, 0.93
Амельченко Василь Васильович, 2691127.2, 10, 112, 24, 185, 16, 0.73
Антонищак Андрій Федорович, 929945.76, 10, 40, 16, 144, 15, 1.91
Ар'єв Володимир Ігорович, 1975388.78, 11, 111, 35, 74, 5, 0.39
Білий Олексій Петрович, 1891918.59, 5, 1, 1, 35, 0, 0.05
Біловол Олександр Миколайович, 2.0, 8, 85, 21, 79, 8, 513580.19
Білоцерковець Дмитро Олександрович, 2461813.93, 11, 62, 19, 56, 1, 0.13
Бабій Юрій Юрійович, 1897130.79, 9, 47, 9, 39, 7, 0.46
Бабак Альона Валеріївна, 184306.0, 9, 84, 9, 96, 21, 12.81
Балицький Євген Віталійович, 324606.0, 4, 16, 3, 53, 0, 0.33
Балога Віктор Іванович, 5043.54, 5, 7, 65, 54, 2, 60.41
